tiempo_relativo_s,valor_crudo
5.0207860469818115,-67528.0
5.021312952041626,-67444.0
5.034747362136841,-67357.0
5.037437677383423,-67259.0
5.0475099086761475,-67186.0
5.071386814117432,-67111.0
5.071982145309448,-67062.0
5.086857557296753,-67010.0
5.088193893432617,-66977.0
5.098324537277222,-66949.0
5.119078636169434,-66944.0
5.119546413421631,-66943.0
5.1348206996917725,-66951.0
5.1381635665893555,-66956.0
5.148346900939941,-66981.0
5.171930551528931,-66995.0
5.172408103942871,-67009.0
5.18810510635376,-67014.0
5.188580274581909,-67036.0
5.198291063308716,-67040.0
5.22127628326416,-67062.0
5.22181248664856,-67076.0
5.2359466552734375,-67098.0
5.23813796043396,-67114.0
5.248345613479614,-67139.0
5.271850109100342,-67156.0
5.272319078445435,-67181.0
5.28643536567688,-67190.0
5.289390563964844,-67199.0
5.298367738723755,-67202.0
5.318469762802124,-67205.0
5.319087743759155,-67195.0
5.328329563140869,-67198.0
5.344162464141846,-67188.0
5.348153829574585,-67186.0
5.374740123748779,-67174.0
5.375377655029297,-67179.0
5.378584861755371,-67173.0
5.3913984298706055,-67185.0
5.398752927780151,-67190.0
5.421496868133545,-67196.0
5.42201566696167,-67195.0
5.437618970870972,-67209.0
5.438114643096924,-67207.0
5.44830322265625,-67219.0
5.473108530044556,-67222.0
5.4735798835754395,-67236.0
5.490192651748657,-67243.0
5.4906957149505615,-67251.0
5.497892141342163,-67254.0
5.52257227897644,-67271.0
5.523136138916016,-67280.0
5.536173343658447,-67292.0
5.539239168167114,-67303.0
5.548332691192627,-67321.0
5.574462890625,-67327.0
5.5750205516815186,-67335.0
5.589986562728882,-67341.0
5.590728759765625,-67351.0
5.597946643829346,-67355.0
5.621768951416016,-67365.0
5.622348308563232,-67371.0
5.637226581573486,-67384.0
5.638762950897217,-67382.0
5.64885401725769,-67384.0
5.6746814250946045,-67390.0
5.675157785415649,-67395.0
5.694850206375122,-67395.0
5.6954426765441895,-67401.0
5.69894814491272,-67412.0
5.723405122756958,-67422.0
5.724731683731079,-67427.0
5.739480257034302,-67440.0
5.741502523422241,-67448.0
5.748480319976807,-67449.0
5.7770538330078125,-67428.0
5.777547836303711,-67368.0
5.778759241104126,-67265.0
5.795135021209717,-67158.0
5.798837184906006,-67066.0
5.8245158195495605,-67001.0
5.825390338897705,-66949.0
5.841334819793701,-66903.0
5.8419342041015625,-66874.0
5.848560810089111,-66859.0
5.8754987716674805,-66853.0
5.876037359237671,-66851.0
5.890188217163086,-66855.0
5.893847465515137,-66868.0
5.898861646652222,-66883.0
5.924533843994141,-66892.0
5.925058126449585,-66901.0
5.9415178298950195,-66906.0
5.94206428527832,-66914.0
5.948362350463867,-66919.0
5.976259469985962,-66924.0
5.976959466934204,-66936.0
5.979187726974487,-66946.0
5.993545770645142,-66963.0
5.998861074447632,-66983.0
6.0328240394592285,-67004.0
6.033667087554932,-67014.0
6.0510337352752686,-67029.0
6.051488161087036,-67031.0
6.051943063735962,-67039.0
6.060523271560669,-67035.0
6.085548400878906,-67035.0
6.086248397827148,-67030.0
6.103569746017456,-67027.0
6.104379415512085,-67025.0
6.109889268875122,-67022.0
6.139881134033203,-67027.0
6.140722751617432,-67028.0
6.161405324935913,-67039.0
6.162107467651367,-67045.0
6.168228626251221,-67058.0
6.170028448104858,-67069.0
6.198177814483643,-67090.0
6.19883918762207,-67119.0
6.199725151062012,-67146.0
6.230700731277466,-67184.0
6.231443405151367,-67220.0
6.232208728790283,-67260.0
6.25365948677063,-67294.0
6.254289388656616,-67325.0
6.26111912727356,-67361.0
6.284546136856079,-67394.0
