tiempo_relativo_s,valor_filtrado
14.720487594604492,-154.1963
14.721529006958008,-157.016
14.766834259033203,-159.2845
14.768119812011719,-160.8752
14.769491195678711,-161.6739
14.771052598953247,-161.5801
14.814213752746582,-160.4991
14.815016746520996,-158.4116
14.817553997039795,-155.4348
14.823856353759766,-151.7143
14.824843883514404,-147.2622
14.827873468399048,-141.9825
14.867949485778809,-135.8405
14.868530035018921,-128.9493
14.869024753570557,-121.5311
14.869477033615112,-113.8368
14.870163440704346,-106.0738
14.907662153244019,-98.3819
14.908769130706787,-90.8463
14.91262149810791,-83.4769
14.9140465259552,-76.2028
14.966976881027222,-68.9493
14.96852421760559,-61.7169
15.008953094482422,-54.5875
15.009694337844849,-47.6678
15.010562419891357,-41.0218
15.017504930496216,-34.6243
15.018385171890259,-28.3563
15.019787311553955,-22.0918
15.063817501068115,-15.794
15.064766645431519,-9.5147
15.065588474273682,-3.3457
15.066458940505981,2.6469
15.068347930908203,8.5123
15.111545324325562,14.414
15.112162351608276,20.4644
15.112779378890991,26.6054
15.117478370666504,32.7117
15.119540929794312,38.8415
15.120427370071411,45.5772
15.1229727268219,54.3816
15.160931587219238,67.5961
15.161998510360718,87.7044
15.162833452224731,116.1574
15.164288997650146,152.6118
15.166001796722412,195.0496
15.203418016433716,240.4531
15.204840421676636,285.4609
15.211404085159302,326.732
15.212307691574097,361.1604
15.213316917419434,386.1861
15.263035297393799,400.177
15.263854026794434,402.6292
15.264640808105469,394.1092
15.26544451713562,376.0736
15.266852378845215,350.5981
15.301686763763428,320.0058
15.302337884902954,286.5154
15.305225849151611,252.0251
15.30587911605835,218.0276
15.308805227279663,185.5583
15.344018459320068,155.178
15.344472646713257,127.054
15.344921588897705,101.0406
15.35158109664917,76.6928
15.387619733810425,53.3554
15.388111352920532,30.4122
15.388585090637207,7.5666
15.39195966720581,-15.0062
15.432562112808228,-36.7091
15.433552503585815,-56.7776
15.434418439865112,-74.6116
15.435455799102783,-89.9522
15.474430561065674,-102.8411
15.475223541259766,-113.5258
15.482896566390991,-122.4246
15.487178087234497,-130.1179
15.488216161727905,-137.265
15.514879941940308,-144.3892
15.515507221221924,-151.6816
15.516193628311157,-158.9921
15.534412860870361,-165.945
15.542370319366455,-172.1435
15.57202696800232,-177.4277
15.572727918624878,-181.9241
15.574209690093994,-185.8494
15.575942039489746,-189.3674
15.596957206726074,-192.5717
15.597474813461304,-195.4652
15.603225231170654,-197.9664
15.629464149475098,-199.9788
15.630234479904175,-201.4023
15.63295316696167,-202.052
15.651209592819214,-201.6637
15.65249252319336,-200.0064
15.688183069229126,-196.9433
15.689150333404541,-192.4387
15.690125465393066,-186.5344
15.691183090209961,-179.2461
15.715397357940674,-170.5001
15.717146873474121,-160.2447
15.722069263458252,-148.6096
15.751781225204468,-135.957
15.753160953521729,-122.8201
15.754385232925415,-109.7984
15.777075052261353,-97.4534
15.78178334236145,-86.1906
15.78454065322876,-76.1547
15.808558702468872,-67.2034
15.809125661849976,-59.0003
15.809627056121826,-51.1826
15.828524112701416,-43.4903
15.829059362411499,-35.8286
15.858580112457275,-28.2662
15.859245538711548,-20.967
15.859956741333008,-14.1167
15.880125284194946,-7.8674
15.880623817443848,-2.2749
15.891798734664917,2.7421
15.916133165359497,7.3599
15.916753768920898,11.7708
15.919173955917358,16.1257
15.93523907661438,20.4498
15.939381837844849,24.5753
15.97040605545044,28.2345
15.971060037612915,31.293
15.971856832504272,33.9189
15.992270946502686,36.4776
15.993354797363281,39.0694
16.02127742767334,41.0211
16.021856546401978,41.1978
16.02236771583557,39.5797
16.043116331100464,38.9224
16.043567180633545,44.4996
16.049169063568115,61.4728
16.070075035095215,91.9022
16.08000111579895,133.732
16.080763816833496,182.0095
16.10611891746521,230.9593
16.110787868499756,275.5786
16.112497806549072,312.282
16.139405965805054,338.9027
16.1400408744812,354.5038
16.141139268875122,359.1411
16.162484884262085,353.5926
16.163753509521484,339.1612
16.170483827590942,317.5833
16.198274850845337,290.9
16.19930124282837,261.1835
16.200295448303223,230.2667
16.223052263259888,199.5898
16.223702669143677,170.0727
16.230259895324707,142.0487
16.26169753074646,115.3711
16.262446641921997,89.6206
16.263325929641724,64.417
16.28831386566162,39.8054
16.288959980010986,16.3623
16.290045738220215,-5.1432
16.325361490249634,-24.1401
16.326316833496094,-40.3738
16.32758665084839,-53.8439
16.353421926498413,-64.732
16.35419249534607,-73.3674
16.354915380477905,-80.2372
16.36087465286255,-85.9645
16.392069578170776,-91.1764
16.39285445213318,-96.3233
16.393500566482544,-101.5917
16.421180725097656,-106.9396
16.42189621925354,-112.2083
16.42642116546631,-117.27
16.45236849784851,-122.1001
16.452975749969482,-126.7111
16.45347547531128,-131.0561
16.476101875305176,-135.0235
16.47783613204956,-138.5556
16.480760097503662,-141.7638
16.50772976875305,-144.8307
16.50823473930359,-147.8168
16.509833574295044,-150.6661
16.528868675231934,-153.3199
16.529372692108154,-155.7182
16.556185483932495,-157.7708
16.556811571121216,-159.4022
16.559791088104248,-160.6115
16.57603883743286,-161.4362
16.581390380859375,-161.8032
16.606204748153687,-161.4583
16.606752395629883,-160.0815
16.627885818481445,-157.4055
16.628390312194824,-153.267
16.634348154067993,-147.6481
16.6598219871521,-140.6327
16.660338163375854,-132.2656
16.66123652458191,-122.4827
16.68209958076477,-111.1859
16.682576417922974,-98.3406
16.711577892303467,-83.9888
16.71219491958618,-68.2588
16.712989568710327,-51.4701
16.730576038360596,-34.2337
16.73128604888916,-17.3447
16.741870641708374,-1.503
16.777459621429443,12.8797
16.778167486190796,25.6429
16.778790950775146,36.7352
16.78076410293579,46.1431
16.796689987182617,53.891
16.800145149230957,60.0406
16.830759286880493,64.6804
16.832019567489624,67.9263
16.83299970626831,69.9332
16.850986003875732,70.9684
16.851460933685303,71.711
16.88287091255188,73.6716
16.883676052093506,79.2403
16.884349584579468,91.056
16.904569625854492,110.9141
16.905229330062866,138.8177
16.913301944732666,172.7637
16.932826280593872,209.332
16.93337368965149,244.5957
16.940840005874634,274.9282
16.96224355697632,297.571
16.962838649749756,310.9034
16.991350650787354,314.4395
16.99186944961548,308.6081
16.992318391799927,294.4307
17.01310682296753,273.3292
17.013643264770508,247.0663
17.020092964172363,217.5823
17.042493104934692,186.6961
17.04314136505127,155.8661
17.06069827079773,126.1322
17.061251163482666,98.1099
17.094038724899292,71.9549
17.094849586486816,47.4478
17.095824480056763,24.2362
17.118805646896362,2.1196
17.119773387908936,-18.7422
17.12048649787903,-37.812
17.158539295196533,-54.364
17.15936589241028,-67.7721
17.160123586654663,-77.7444
17.161259174346924,-84.3969
17.182665586471558,-88.1983
17.18327021598816,-89.8386
17.193029642105103,-90.0467
17.224483251571655,-89.4406
17.225348711013794,-88.5031
17.226378440856934,-87.6405
17.253557682037354,-87.2036
17.257874011993408,-87.4563
17.259726524353027,-88.5425
17.261298656463623,-90.5062
17.283508777618408,-93.3598
17.284281969070435,-97.0882
17.306040048599243,-101.5678
17.310201168060303,-106.5317
17.312203645706177,-111.6457
17.33930540084839,-116.6036
17.340056657791138,-121.1953
17.34216833114624,-125.3839
17.3663170337677,-129.3289
17.367042303085327,-133.2518
