x0000,y0000,x0001,y0001
2.0113995075,-1315.5361737448,,
2.093593359,-1348.5358086462,,
2.0937178135,-1377.9418949710,,
2.0937380791,-1404.9223239794,,
2.0937559605,-1430.5126684313,,
2.0957753658,-1455.5142205121,,
2.1555483341,-1480.4403951524,,
2.1557598114,-1505.5121187985,,
2.1557798386,-1530.6933882228,,
2.1557970047,-1555.7527392205,,
2.1558148861,-1580.3361065294,,
2.1558315754,-1604.0411086576,,
2.1558482647,-1626.4881514264,,
2.1558637619,-1647.3849694602,,
2.1577069759,-1666.5772013698,,
2.2298250198,-1684.0725443498,,
2.2300891876,-1700.0262611828,,
2.2301127911,-1714.6842068637,,
2.2301373482,-1728.2929891557,,
2.2301642895,-1740.9989462958,,
2.2317430973,-1752.7630053512,,
2.2725994587,-1763.3154476546,,
2.2728695869,-1772.1652739054,,
2.2729122639,-1778.6673585323,,
2.2729432583,-1782.1396743490,,
2.2729732990,-1782.0128679599,,
2.2730121613,-1777.9860012806,,
2.2730414867,-1770.1575995919,,
2.3240904808,-1759.1012157898,,
2.3242621422,-1745.8579172364,,
2.3242878914,-1731.8237143173,,
2.324311018,-1718.5203677868,,
2.3647060394,-1707.2561785431,,
2.3649427891,-1698.7097757381,,
2.3649778366,-1692.5017001141,,
2.3650093079,-1686.8486393533,,
2.3650381565,-1678.4118543628,,
2.3654837608,-1662.4416194623,,
2.3978419304,-1633.2753555472,,
2.3979864120,-1585.1707787926,,
2.3980119228,-1513.3610571050,,
2.3998911381,-1415.1318990641,,
2.3999726772,-1290.6721487343,,
2.4000058174,-1143.466474212,,
2.4000370502,-980.08826738,,
2.4953970909,-809.3919391255,,
2.4955067635,-641.2534726837,,
2.4955313206,-485.1198883906,,
2.4955537319,-348.6703055123,,
2.4955754280,-236.8550052621,,
2.5086469650,-151.4785787620,,
2.5475852489,-91.3601932418,,
2.5477464199,-52.9764026142,,
2.5477676392,-31.4017851264,,
2.5481185913,-21.3263965922,,
2.5530836582,-17.9462868831,,
2.5910468102,-17.5815290267,,
2.5912108421,-17.9553519365,,
2.591231823,-18.1464289087,,
2.5912504196,-18.2876953903,,
2.5931246281,-19.1210714798,,
2.6225481033,-21.5264474005,,
2.6227383614,-26.1281387763,,
2.6227617264,-33.0491545276,,
2.6508698463,-41.8408970081,,
2.6510143280,-51.5719884480,,
2.6510345936,-61.0252490992,,
2.6527514458,-68.9358520661,,
2.6867887974,-74.2084707837,,
2.6869206429,-76.0702493646,,
2.6891460419,-74.1402832693,,
2.7188787460,-68.4185108064,,
2.7190463543,-59.2140881333,,
2.7190670967,-47.0431167308,,
2.7563312054,-32.5265626572,,
2.7564995289,-16.3118727696,,
2.7565224171,0.9707652205,,
2.7938811779,18.7195623659,,
2.7940509319,36.3510810991,,
2.7940714359,53.2847275755,,
2.7961542606,68.9372258896,,
2.8311889172,82.7385318569,,
2.8313658237,94.1739749309,,
2.8313868046,102.8490614358,,
2.834145546,108.5644814591,,
2.8665354252,111.3815710183,,
2.8666160107,111.6556515673,,
2.8666350842,110.0183386322,,
2.9065997601,107.3001385532,,
2.9067945480,104.3991825714,,
2.9068222046,102.1168163718,,
2.9068448544,100.9919542582,,
2.9499599934,101.1709185454,,
2.9501187801,102.3465199483,,
2.9501459599,103.7888614535,,
2.9506623745,104.4714194728,,
2.9806032181,103.2723089001,,
2.9808316231,99.2083107321,,
2.9808666706,91.6460520796,,
2.9809076786,80.4364951319,,
3.0231673717,65.9359795028,,
3.0233402252,48.9043681754,,
3.0233619213,30.3009931812,,
3.0261690617,11.0255097423,,
3.0712888241,-8.3315200679,,
3.071461916,-27.6581490432,,
3.07148242,-47.3499798632,,
3.0744273663,-68.1627192414,,
3.1197421551,-90.8902285994,,
3.1198675632,-115.9142548681,,
3.1198883057,-142.7149821298,,
3.1199083328,-169.46371819,,
3.1229503155,-192.8289095569,,
3.1543924809,-208.1035963965,,
3.1545605659,-209.7029665822,,
3.1545822620,-191.9935769781,,
3.1546015739,-150.3220087492,,
3.2009465694,-82.0383072177,,
3.201117754,12.7155609546,,
3.2011394501,130.6474523814,,
3.2041258812,265.495846344,,
3.2406344414,408.7437847824,,
3.2408359051,550.7447149453,,
3.2408611774,682.0488306977,,
3.2408838272,794.6750247531,,
3.2424952984,883.0890197672,,
3.2778196335,944.7189301168,,
3.2779569626,979.9454009332,,
3.2779774666,991.6160040921,,
3.3154454231,984.2255544523,,
3.3155908585,962.9563915126,,
3.3156108856,932.7775818949,,
3.3156294823,897.7633848852,,
3.3683290482,860.7232184676,,
3.368483305,823.1574992279,,
3.3685085773,785.4854143672,,
3.3685307503,747.4452782094,,
3.3696465492,708.5507743589,,
3.4156420231,668.4951711703,,
3.4158165455,627.4239253948,,
3.4158461094,586.0353446967,,
3.4158704281,545.5108458901,,
3.4628913403,507.3130623302,,
3.4630734921,472.9141960787,,
3.4630992413,443.5238005186,,
3.4631230831,419.8750946432,,
3.4631443024,402.1069839708,,
3.5040476322,389.7522395636,,
3.5041923523,381.8181495645,,
3.5042181015,376.9308002532,,
3.5042402744,373.5109022358,,
3.50613904,369.9549238253,,
3.5522732735,364.8032079070,,
3.552462101,356.8812296065,,
3.5524868965,345.4012282860,,
3.5553708076,330.0128567198,,
3.5893137455,310.7962559027,,
3.5894858837,288.1990493459,,
3.5895123482,262.9276091645,,
3.5895359516,235.8098429068,,
3.5917060375,207.6508078957,,
3.6316370964,179.1039144067,,
3.631793499,150.5784570786,,
3.6318173409,122.1974938700,,
3.677438736,93.8102408251,,
3.6776127815,65.0542110087,,
3.6776378155,35.4565305346,,
3.6776607037,4.5598603498,,
3.6801793575,-27.9457266302,,
3.7204563618,-62.1073793820,,
3.7206258774,-97.6349124528,,
3.7206516266,-133.8894827678,,
3.7206745148,-169.9505556435,,
3.7684223652,-204.7622462125,,
3.7685809135,-237.3412697475,,
3.7686071396,-267.0099928348,,
3.7686305046,-293.6048591366,,
3.7716629505,-317.6056040520,,
3.8153338432,-340.1349091462,,
3.8155083656,-362.7924646208,,
3.8155503273,-387.3132323465,,
3.8155841827,-415.0768101710,,
3.8527996540,-446.5391475813,,
3.8529798985,-480.7005503453,,
3.8530008793,-514.7517057447,,
3.8530187607,-544.0371942938,,
3.8532488346,-562.4323755014,,
3.8882651329,-563.1456251483,,
3.8884193897,-539.8505097655,,
3.8884437084,-487.9498753758,,
3.8903172016,-405.7075585871,,
3.9201054573,-294.9787311766,,
3.920334816,-161.3358368432,,
3.9212386608,-13.5120819789,,
3.9618823528,137.7611949696,,
3.9620597363,281.304021267,,
3.9620816708,407.1135948253,,
3.9624729156,507.7416723946,,
4.0059762001,579.1637216939,,
4.0061209202,621.0028789216,,
4.0061457157,636.1172744179,,
4.0065207481,629.6904655608,,
4.0590686798,608.0527005835,,
4.0592567921,577.490151193,,
4.0592823029,543.2703757325,,
4.0593054295,509.0391485618,,
4.0622429848,476.6479281615,,
4.1043748856,446.3747942795,,
4.1046071053,417.4236792722,,
4.1046421528,388.5420327431,,
4.1046731472,358.5946853681,,
4.1072845459,326.9698658498,,
4.1523125172,293.7567826371,,
4.1524686813,259.7005646353,,
4.1524927616,225.9916024932,,
4.1525516510,193.9734563423,,
4.1922805309,164.8544871211,,
4.1924483776,139.4871651426,,
4.1924724579,118.2458362564,,
4.1924934387,101.001952195,,
4.2022168636,87.1758616568,,
4.2398262024,75.8390998735,,
4.2399938107,65.8457727922,,
4.2400197983,55.977866879,,
4.2405598164,45.0913431607,,
4.3072943687,32.2472050992,,
4.3074257374,16.8085073137,,
4.3074564934,-1.5138526970,,
4.3074841499,-22.6740037250,,
4.3095047474,-46.3551693154,,
4.3561644554,-72.063665629,,
4.3563532829,-99.2252772828,,
4.3563950062,-127.2613739629,,
4.3564262390,-155.6360490681,,
4.3564658165,-183.8799312333,,
4.3564956188,-211.6026441798,,
4.4003207684,-238.5031195487,,
4.400472641,-264.3802938546,,
4.4005002975,-289.1410094045,,
4.4005241394,-312.7991185382,,
4.4006099701,-335.4603850469,,
4.4033083916,-357.2916802034,,
4.4417011738,-378.4788800236,,
4.4418272972,-399.1831824442,,
4.4418485165,-419.5072890779,,
4.4438228607,-439.4793863853,,
4.4764873981,-459.0554332355,,
4.4766175747,-478.1329679427,,
4.4766366482,-496.5667402855,,
4.4799156189,-514.1799323859,,
4.5222773552,-530.7736503050,,
4.5224270821,-546.1477267405,,
4.5224497318,-560.1503921624,,
4.5662589073,-572.7658099085,,
4.5664029121,-584.2264423744,,
4.5664260387,-595.1112533423,,
4.566447258,-606.3744429043,,
4.5688438416,-619.251395424,,
4.6071734428,-635.0098920397,,
4.6073570251,-654.5522155430,,
4.6073830128,-677.9213775423,,
4.6074116230,-703.8118086955,,
4.6373682022,-729.2180075159,,
4.6375532150,-749.3609596709,,
4.6376202106,-758.0016848382,,
4.6376440525,-748.1803212557,,
4.6772322655,-713.3159955344,,
4.6773746014,-648.4910337215,,
4.6773953438,-551.6572738842,,
4.7143695354,-424.4754553424,,
4.7145371437,-272.5495233393,,
4.7145574093,-104.9415323304,,
4.7145752907,66.9802470828,,
4.7539839745,231.1451297002,,
4.7541201115,376.5121083534,,
4.7541396618,494.5827971527,,
4.754421711,580.4116356411,,
4.7842707634,632.9571718575,,
4.7844204903,654.7695410208,,
4.7844405174,651.1434390743,,
4.7848365307,628.9532817578,,
4.8268806934,595.416718857,,
4.8270556927,557.0098331122,,
4.8270812035,518.6969978364,,
4.8671867847,483.5583350426,,
4.8673710823,452.8152523941,,
4.8673963547,426.1834920451,,
4.8674194813,402.4328129916,,
4.9121212959,380.0086322420,,
4.9122657776,357.5768565848,,
4.9122908115,334.3880764088,,
4.9123132229,310.4138119120,,
4.9526295662,286.2701271452,,
4.9528980255,262.9933444371,,
4.9529256821,241.7547114039,,
4.9529495239,223.5940623562,,
4.9577860832,209.2265528212,,
4.9956359863,198.9450160027,,
4.9958081245,192.6136934465,,
4.9958283901,189.7317036477,,
4.9961500168,189.5372742959,,
5.0338797569,191.1250239076,,
5.0340087414,193.5552429544,,
5.0340282917,195.94226937,,
5.0340456963,197.5163206249,,
5.0705499649,197.6588354825,,
5.0707337856,195.9148451836,,
5.0707542896,191.9870997397,,
5.0707724094,185.7170281971,,
5.1043043137,177.0580030972,,
5.1045188904,166.0459519536,,
5.1045467854,152.7706037509,,
5.1078381538,137.3488930847,,
5.1494944096,119.9016564201,,
5.1496298313,100.5353356196,,
5.1496508121,79.3307055086,,
5.1833369732,56.3404123307,,
5.1834445,31.5965655786,,
5.1834638119,5.1280564749,,
5.1834819317,-23.0158093809,,
5.1866753101,-52.74178377,,
5.1867551804,-83.8959029394,,
5.1867742538,-116.2563046233,,
5.1867926121,-149.5322705118,,
5.2584252357,-183.3621303292,,
5.2587797642,-217.3053734149,,
5.2588124275,-250.8331920722,,
5.2588629723,-283.3303013546,,
5.2620968819,-314.1225920551,,
5.2621674538,-342.5388943768,,
5.2621872425,-368.0051209177,,
5.304425478,-390.1601141189,,
5.3351194859,-408.9761349119,,
5.3352129459,-424.8616403465,,
5.3352322578,-438.7184850944,,
5.3377871513,-451.9210661334,,
5.3379065990,-466.1850143605,,
5.3379313946,-483.3030131165,,
5.3379542828,-504.7486213256,,
5.4143373966,-531.1836560656,,
5.4145100117,-561.9438232038,,
5.4145309925,-594.6128290332,,
5.4145493507,-624.818288456,,
5.4701051712,-646.3800031387,,
5.4702608585,-651.8968371433,,
5.4702880383,-633.7665436734,,
5.4703650475,-585.5100216123,,
5.5199830532,-503.1558679748,,
5.520169735,-386.3765977231,,
5.5201969147,-239.0838271706,,
5.5202212334,-69.289199587,,
5.5202441216,111.8020175006,,
5.5208351612,291.3180841095,,
5.5709710121,456.5715129155,,
5.5711522102,596.8577277809,,
5.5711781979,704.8432359598,,
5.5712020397,777.291667729,,
5.5741641521,815.0376624897,,
5.5742456913,822.2862528886,,
5.5742778778,805.4461753453,,
5.5743091106,771.775048136,,
5.5743379593,728.1173774522,,
5.6335074902,679.9614769149,,
5.6893680096,630.9465819506,,
5.6896054745,582.8409080868,,
5.6896390915,535.9110266053,,
5.6896688938,489.533352252,,
5.6897385120,442.8698682970,,
5.6897675991,395.4427304309,,
5.7377228737,347.4897915318,,
5.737893343,300.0522697112,,
5.7379190922,254.816527966,,
5.7379384041,213.7840965546,,
5.7379574776,178.8678909242,,
5.7421991825,151.5105760196,,
5.7809865475,132.4012724832,,
5.7810661793,121.3372311687,,
5.7810842991,117.2444775652,,
5.7811021805,118.3414526808,,
5.8271350861,122.406640176,,
5.8272995949,127.0976568398,,
5.8273203373,130.2658344460,,
5.8273389339,130.2155554015,,
5.8321232796,125.8696816420,,
5.8683874607,116.8201245916,,
5.8685536385,103.2641112374,,
5.8685746193,85.8479969691,,
5.8685932159,65.4564071702,,
5.8736283779,42.991413243,,
5.9168641567,19.1839958837,,
5.9169936180,-5.5292274586,,
5.9170136452,-31.0443526438,,
5.9214262962,-57.5405625250,,
5.9632813931,-85.3584198023,,
5.9633991718,-114.8385859414,,
5.9634222984,-146.1615439654,,
5.9634432793,-179.2262879360,,
5.9655168056,-213.5951654463,,
6.0004041195,-248.5165656684,,
6.0005700588,-283.0194906665,,
6.0005927086,-316.0570109708,,
6.0006132126,-346.6633773893,,
6.0430228710,-374.0871493723,,
6.0431170464,-397.8729609552,,
6.0431416035,-417.8846052227,,
6.0449359417,-434.2834492062,,
6.0798339844,-447.4895399482,,
6.0800111294,-458.1529654845,,
6.0800318718,-467.1495226311,,
6.0800497532,-475.5906039858,,
6.1203782558,-484.8102523713,,
6.1205263138,-496.2749105951,,
6.1205484867,-511.3656532056,,
6.1209738255,-531.0142192355,,
6.1557018757,-555.2283917316,,
6.1558392048,-582.6040866824,,
6.1558582783,-609.9687542385,,
6.1576559544,-632.3120540837,,
6.157743454,-643.1236369259,,
6.1577622890,-635.1764569259,,
6.1577801704,-601.6824502623,,
6.2286536694,-537.6316512836,,
6.2288305759,-441.0393436800,,
6.2288508415,-313.8004332600,,
6.2288701534,-161.9033833433,,
6.2707788944,5.1168911752,,
6.27090168,175.4337974324,,
6.2709231377,336.6618660439,,
6.3095166683,477.7118174540,,
6.3096506596,590.3782913151,,
6.3096692562,670.341004758,,
6.3097176552,717.4097151135,,
6.3112411499,735.0234302193,,
6.3461697102,729.1746102461,,
6.3463335037,707.0338439346,,
6.3463530540,675.5824305664,,
6.3498752117,640.5201669049,,
6.3499429226,605.6212254109,,
6.3499619961,572.5918567509,,
6.3499803543,541.3705825798,,
6.3897757530,510.7283708545,,
6.4194178581,478.9868901623,,
6.4195399284,444.6802484331,,
6.4195604324,407.0308377063,,
6.4216973782,366.1750780365,,
6.4217736721,323.1401929574,,
6.421797514,279.6241620387,,
6.4592156410,237.6601570048,,
6.4979133606,199.2520848537,,
6.4981813431,166.0531907232,,
6.4982070923,139.1348851991,,
6.5001525879,118.8689615491,,
6.5339729786,104.9276281510,,
6.5341091156,96.3895923547,,
6.5341291428,91.9243403744,,
6.5372316837,90.0137893794,,
6.5801393986,89.1660002340,,
6.5803148746,88.0819769192,,
6.5803349018,85.7517993470,,
6.6206355095,81.4759786083,,
6.6208140850,74.8267604930,,
6.6208341122,65.5768842722,,
6.6208519936,53.6259224315,,
6.6229124069,38.9464281586,,
6.6229748726,21.5583611960,,
6.6229934692,1.5275530706,,
6.6230118275,-21.0228492418,,
6.6231532097,-45.8991477567,,
6.7033581734,-72.8291673789,,
6.7035322189,-101.4622187659,,
6.7036597729,-131.3774733717,,
6.7042620182,-162.102147986,,
6.7394764423,-193.1422872674,,
6.739641428,-224.0271971515,,
6.7396621704,-254.3622854574,,
6.7397191525,-283.8767042608,,
6.7432363033,-312.4463802669,,
6.7433402538,-340.0742338492,,
6.7433614731,-366.8205117383,,
6.7819640636,-392.6961965021,,
6.8163487911,-417.5548566142,,
