timestamp,Red,IR
1760728280.2763202,53475.0,67937.0
1760728280.3163276,53481.0,68012.0
1760728280.356323,53505.0,68117.0
1760728280.396385,53549.0,68252.0
1760728280.436318,53593.0,68382.0
1760728280.4763126,53636.0,68502.0
1760728280.5163221,53666.0,68604.0
1760728280.5563202,53692.0,68692.0
1760728280.5963025,53717.0,68784.0
1760728280.6363046,53748.0,68866.0
1760728280.6763082,53746.0,68585.0
1760728280.7163167,53555.0,67886.0
1760728280.7562048,53329.0,67364.0
1760728280.7963128,53231.0,67303.0
1760728280.8353336,53247.0,67384.0
1760728280.875305,53284.0,67578.0
1760728280.9152968,53365.0,67812.0
1760728280.9553342,53432.0,67924.0
1760728280.9952996,53443.0,67948.0
1760728281.0349636,53455.0,67995.0
1760728281.075247,53477.0,68120.0
1760728281.1149995,53530.0,68287.0
1760728281.1553488,53578.0,68434.0
1760728281.1952837,53624.0,68594.0
1760728281.235288,53681.0,68745.0
1760728281.275285,53714.0,68833.0
1760728281.315285,53738.0,68962.0
1760728281.3552637,53790.0,69087.0
1760728281.395206,53834.0,69221.0
1760728281.4351668,53867.0,69199.0
1760728281.4752853,53730.0,68495.0
1760728281.5152738,53479.0,67757.0
1760728281.555271,53295.0,67424.0
1760728281.5952673,53257.0,67412.0
1760728281.635267,53267.0,67507.0
1760728281.6752496,53318.0,67741.0
1760728281.714258,53398.0,67942.0
1760728281.754341,53444.0,68009.0
1760728281.7942514,53454.0,68024.0
1760728281.8343117,53477.0,68055.0
1760728281.874243,53480.0,68127.0
1760728281.9142432,53510.0,68245.0
1760728281.9542477,53561.0,68383.0
1760728281.9942575,53604.0,68505.0
1760728282.034246,53634.0,68550.0
1760728282.074234,53637.0,68533.0
1760728282.1142316,53633.0,68544.0
1760728282.1542318,53634.0,68565.0
1760728282.194231,53657.0,68623.0
1760728282.234234,53668.0,68456.0
1760728282.2742746,53503.0,67711.0
1760728282.3142319,53219.0,66904.0
1760728282.3542237,53039.0,66624.0
1760728282.3942132,53005.0,66670.0
1760728282.4340386,53043.0,66805.0
1760728282.4742455,53100.0,67033.0
1760728282.5141943,53160.0,67155.0
1760728282.5532176,53179.0,67151.0
1760728282.5932128,53167.0,67115.0
1760728282.6332092,53168.0,67147.0
1760728282.673229,53191.0,67237.0
1760728282.7132154,53220.0,67391.0
1760728282.7531874,53281.0,67616.0
1760728282.7932234,53359.0,67809.0
1760728282.8331993,53410.0,67975.0
1760728282.8731983,53451.0,68096.0
1760728282.9132497,53490.0,68210.0
1760728282.9532113,53519.0,68291.0
1760728282.992994,53541.0,68303.0
1760728283.0331914,53470.0,67774.0
1760728283.0728824,53226.0,66949.0
1760728283.113226,52998.0,66571.0
1760728283.153182,52964.0,66625.0
1760728283.1931858,52994.0,66763.0
1760728283.2331727,53054.0,67016.0
1760728283.2731793,53145.0,67261.0
1760728283.31317,53198.0,67330.0
1760728283.353163,53197.0,67336.0
1760728283.3921664,53203.0,67388.0
1760728283.4321754,53220.0,67477.0
1760728283.4723415,53272.0,67658.0
1760728283.5122006,53334.0,67838.0
1760728283.5521774,53400.0,68042.0
1760728283.5921707,53457.0,68182.0
1760728283.6321816,53495.0,68296.0
1760728283.6721644,53533.0,68408.0
1760728283.7121694,53566.0,68530.0
1760728283.751934,53615.0,68689.0
1760728283.7921524,53596.0,68272.0
1760728283.8320918,53386.0,67577.0
1760728283.872154,53173.0,67132.0
1760728283.912199,53113.0,67088.0
1760728283.95215,53129.0,67199.0
1760728283.9921427,53174.0,67402.0
1760728284.0319462,53256.0,67633.0
1760728284.0721483,53312.0,67723.0
1760728284.112132,53323.0,67726.0
1760728284.1521318,53321.0,67756.0
1760728284.1921294,53330.0,67840.0
1760728284.231129,53362.0,67972.0
