timestamp,Crudo,Filtrado,Normalizado
1760987162.8085947,-331.0,13.7187,0.498
1760987162.8287373,-332.0,12.073,0.498
1760987162.853132,-330.0,9.7611,0.498
1760987162.8790438,-331.0,7.7011,0.498
1760987162.903703,-332.0,6.4868,0.498
1760987162.922586,-338.0,6.0986,0.498
1760987162.928952,-335.0,5.9629,0.498
1760987162.9487002,-335.0,5.447,0.498
1760987162.9719102,-338.0,4.381,0.4979
1760987162.9982393,-336.0,3.0398,0.4979
1760987163.0232074,-339.0,1.7815,0.4979
1760987163.0289004,-340.0,0.8001,0.4979
1760987163.0488453,-336.0,0.0932,0.4979
1760987163.074274,-335.0,-0.3468,0.4979
1760987163.0999827,-333.0,-0.3613,0.4979
1760987163.12249,-333.0,0.2304,0.4979
1760987163.1426873,-336.0,1.347,0.4979
1760987163.1493173,-333.0,2.5679,0.4979
1760987163.1695633,-335.0,3.3896,0.4979
1760987163.1936088,-334.0,3.5655,0.4979
1760987163.2138696,-336.0,3.1671,0.4979
1760987163.231718,-336.0,2.4113,0.4979
1760987163.2549922,-333.0,1.5317,0.4979
1760987163.2716267,-336.0,0.7671,0.4979
1760987163.2907386,-335.0,0.29,0.4979
1760987163.308819,-336.0,0.0758,0.4979
1760987163.3313603,-337.0,-0.0657,0.4979
1760987163.3503678,-339.0,-0.3588,0.4979
1760987163.369051,-336.0,-0.9504,0.4979
1760987163.3898063,-334.0,-1.7591,0.4979
1760987163.4078887,-337.0,-2.4479,0.4979
1760987163.429799,-334.0,-2.7072,0.4979
1760987163.4490645,-332.0,-2.4898,0.4979
1760987163.4756126,-330.0,-1.8851,0.4979
1760987163.5007205,-330.0,-0.9651,0.4979
1760987163.511823,-332.0,0.1311,0.4979
1760987163.5284941,-327.0,1.1224,0.4979
1760987163.5563276,-331.0,1.7492,0.4979
1760987163.5786333,-333.0,1.8967,0.4979
1760987163.5878375,-335.0,1.4675,0.4979
1760987163.6176617,-338.0,0.3251,0.4979
1760987163.6394415,-336.0,-1.535,0.4979
1760987163.6560693,-337.0,-3.8193,0.4979
1760987163.6723037,-337.0,-5.991,0.4979
1760987163.6887977,-339.0,-7.5767,0.4978
1760987163.7129667,-334.0,-8.4144,0.4978
1760987163.736011,-337.0,-8.5817,0.4978
1760987163.753624,-335.0,-8.2471,0.4978
1760987163.777785,-338.0,-7.6691,0.4978
1760987163.7883108,-338.0,-7.193,0.4978
1760987163.8177905,-331.0,-7.0661,0.4978
1760987163.834333,-335.0,-7.182,0.4978
1760987163.8568625,-329.0,-7.1393,0.4978
1760987163.8810668,-334.0,-6.633,0.4979
1760987163.9021235,-331.0,-5.7276,0.4979
1760987163.9078333,-333.0,-4.7964,0.4979
1760987163.9278893,-337.0,-4.2797,0.4979
1760987163.9504914,-337.0,-4.5146,0.4979
1760987163.9716384,-336.0,-5.6093,0.4979
1760987163.9979033,-334.0,-7.2687,0.4978
1760987164.022642,-336.0,-8.8568,0.4978
1760987164.0277784,-329.0,-9.7628,0.4978
1760987164.0615268,-336.0,-9.705,0.4978
1760987164.0676107,-335.0,-8.8777,0.4978
1760987164.087859,-336.0,-7.9125,0.4978
1760987164.1079547,-336.0,-7.4757,0.4978
1760987164.12783,-332.0,-7.7874,0.4978
1760987164.1486666,-329.0,-8.474,0.4978
1760987164.1680582,-334.0,-8.8595,0.4978
1760987164.193504,-334.0,-8.5797,0.4978
1760987164.2182477,-332.0,-7.9056,0.4978
1760987164.228156,-328.0,-7.3215,0.4978
1760987164.2472532,-328.0,-6.9455,0.4978
1760987164.2699513,-328.0,-6.5335,0.4979
1760987164.2871692,-328.0,-5.8999,0.4979
1760987164.3101084,-331.0,-5.1769,0.4979
1760987164.3283527,-329.0,-4.722,0.4979
1760987164.3499618,-329.0,-4.817,0.4979
1760987164.3670108,-334.0,-5.4592,0.4979
1760987164.3867097,-332.0,-6.4854,0.4979
1760987164.4110916,-330.0,-7.716,0.4978
1760987164.4380767,-331.0,-8.8691,0.4978
1760987164.4481826,-329.0,-9.5919,0.4978
1760987164.4781866,-329.0,-9.6877,0.4978
1760987164.5017867,-328.0,-9.2145,0.4978
1760987164.519608,-327.0,-8.4029,0.4978
1760987164.5299172,-328.0,-7.5272,0.4978
1760987164.5640564,-331.0,-6.8506,0.4979
1760987164.5669363,-325.0,-6.5943,0.4979
1760987164.588192,-329.0,-6.7797,0.4979
1760987164.6066759,-323.0,-7.1432,0.4978
1760987164.6285253,-323.0,-7.2914,0.4978
1760987164.6484852,-319.0,-6.8889,0.4979
1760987164.6709275,-322.0,-5.8194,0.4979
1760987164.6892505,-321.0,-4.3304,0.4979
1760987164.707027,-320.0,-2.9534,0.4979
1760987164.7301698,-320.0,-2.1497,0.4979
1760987164.7470436,-316.0,-2.0046,0.4979
1760987164.7707815,-318.0,-2.2286,0.4979
1760987164.7960472,-320.0,-2.4574,0.4979
1760987164.819174,-320.0,-2.6098,0.4979
1760987164.8356209,-317.0,-2.8752,0.4979
1760987164.852153,-315.0,-3.3322,0.4979
1760987164.8687086,-313.0,-3.7298,0.4979
1760987164.8914502,-316.0,-3.7206,0.4979
1760987164.909394,-311.0,-3.2298,0.4979
1760987164.9268606,-312.0,-2.4805,0.4979
1760987164.946765,-307.0,-1.7083,0.4979
1760987164.9661028,-310.0,-0.991,0.4979
1760987164.9887352,-302.0,-0.3027,0.4979
1760987165.0063047,-303.0,0.4441,0.4979
1760987165.0320544,-299.0,1.3806,0.4979
1760987165.0569968,-304.0,2.5165,0.4979
1760987165.0809367,-306.0,3.5227,0.4979
